,Date,AAPLsclose,ABBVsclose,ABTsclose,ACNsclose,ADBEsclose,AIGsclose,AMDsclose,AMGNsclose,AMTsclose,AMZNsclose,AVGOsclose,AXPsclose,BAsclose,BACsclose,BKsclose,BKNGsclose,BLKsclose,BMYsclose,BRKBsclose,Csclose,CATsclose,CHTRsclose,CLsclose,CMCSAsclose,COFsclose,COPsclose,COSTsclose,CRMsclose,CSCOsclose,CVSsclose,CVXsclose,DHRsclose,DISsclose,DOWsclose,DUKsclose,EMRsclose,EXCsclose,Fsclose,FDXsclose,GDsclose,GEsclose,GILDsclose,GMsclose,GOOGsclose,GOOGLsclose,GSsclose,HDsclose,HONsclose,IBMsclose,INTCsclose,JNJsclose,JPMsclose,KHCsclose,KOsclose,LINsclose,LLYsclose,LMTsclose,LOWsclose,MAsclose,MCDsclose,MDLZsclose,MDTsclose,METsclose,METAsclose,MMMsclose,MOsclose,MRKsclose,MSsclose,MSFTsclose,NEEsclose,NFLXsclose,NKEsclose,NVDAsclose,ORCLsclose,PEPsclose,PFEsclose,PGsclose,PMsclose,PYPLsclose,QCOMsclose,RTXsclose,SBUXsclose,SCHWsclose,SOsclose,SPGsclose,Tsclose,TGTsclose,TMOsclose,TMUSsclose,TSLAsclose,TXNsclose,UNHsclose,UNPsclose,UPSsclose,USBsclose,Vsclose,VZsclose,WBAsclose,WFCsclose,WMTsclose,XOMsclose,mean vol
1,1/2/2015,27.3325,65.889999,44.900002,88.839996,72.339996,56.110001,2.67,159.889999,99.669998,15.426,100.089996,93.019997,129.949997,17.9,40.459999,1142.060059,356.730011,59.509998,149.169998,54.259998,91.879997,166.429993,69.040001,28.674999,82.489998,68.919998,141.610001,59.240002,27.610001,95.099998,112.580002,64.988625,93.75,NaN,84.050003,61.790001,26.797432,15.36,172.449997,138.449997,192.769226,94.910004,34.84,26.168653,26.477501,194.410004,103.43,95.556229,154.933075,36.360001,104.519997,62.490002,NaN,42.139999,129.949997,70.059998,193.309998,67.699997,85.68,93.260002,36.790001,71.879997,48.048126,78.449997,164.059998,48.970001,54.57061,38.709999,46.759998,26.672501,49.848572,47.514999,5.0325,44.330002,94.440002,29.724857,90.440002,81.019997,NaN,74.279999,72.397736,NaN,30.219999,49.369999,185.339996,25.581572,75.330002,128.119995,27.299999,14.620667,53.48,100.779999,118.610001,110.379997,44.830002,66.254997,46.959999,76,54.700001,85.900002,92.830002,
2,1/5/2015,26.5625,64.650002,44.91,87.339996,71.980003,55,2.66,157.990005,98.230003,15.1095,98.489998,90.559998,129.050003,17.379999,39.419998,1097.579956,347.5,58.580002,147,52.549999,87.029999,160.5,68.529999,27.98,80.589996,65.639999,140,58.169998,27.059999,94.160004,108.080002,64.3442,92.379997,NaN,82.839996,60.52,26.034237,14.76,169.800003,135.559998,189.230774,96.790001,34.330002,25.623152,25.973,188.339996,101.260002,93.735291,152.495224,35.950001,103.790001,60.549999,NaN,42.139999,126.519997,69.370003,189.289993,66.080002,83.269997,92.230003,36.240002,71.580002,46.443851,77.190002,160.360001,48.689999,55.38168,37.5,46.330002,26.389999,47.311428,46.75,4.9475,43.59,93.730003,29.563566,90.010002,80.410004,NaN,73.93,71.18943,NaN,29.209999,49.16,186.100006,25.339878,73.980003,126.360001,26.93,14.006,52.650002,99.120003,114.599998,108.169998,43.75,64.792503,46.57,74.5,53.200001,85.650002,90.290001,0.00022914
3,1/6/2015,26.565001,64.330002,44.400002,86.709999,70.529999,54.220001,2.63,152.899994,97.970001,14.7645,96.25,88.629997,127.529999,16.860001,38.279999,1079.959961,342.100006,58.48,146.839996,50.700001,86.470001,156.309998,67.809998,27.615,79.089996,62.93,141.850006,57.200001,27.049999,94.230003,108.029999,63.904472,91.889999,NaN,84.199997,60.419998,25.834522,14.62,169.789993,135.720001,185.153839,97.650002,34.849998,25.029282,25.332001,184.529999,100.949997,93.516014,149.206497,35.279999,103.279999,58.98,NaN,42.459999,124.900002,69.720001,188.399994,66.230003,83.089996,92.400002,35.990002,71.220001,45.035652,76.150002,158.649994,48.98,57.557251,36.419998,45.650002,26.4925,46.501431,46.474998,4.7975,43.139999,93.019997,29.810247,89.599998,81.099998,NaN,72.879997,70.182503,NaN,28.139999,49.75,191.279999,25.377644,73.970001,125.18,26.870001,14.085333,51.779999,98.919998,112.230003,107.459999,43.169998,64.375,47.040001,74.690002,52.09,86.309998,89.809998,0.000248859
4,1/7/2015,26.9375,66.93,44.759998,88.529999,71.110001,54.48,2.58,158.240005,99,14.921,98.849998,90.300003,129.509995,16.940001,39.07,1069.569946,349.339996,59.240002,148.880005,51.169998,87.809998,156.789993,68.349998,27.59,79.989998,63.349998,144.320007,56.93,27.299999,95.93,107.940002,64.29113,92.830002,NaN,84.470001,60.290001,25.870186,15.04,171.039993,135.199997,185.230774,99.480003,35.84,24.986401,25.2575,187.279999,104.410004,94.192909,148.231354,36.02,105.559998,59.07,NaN,42.990002,126.300003,69.230003,190.830002,68.199997,84.220001,94.010002,37.119999,73,45.632797,76.150002,159.800003,49.880001,58.78817,36.939999,46.23,26.735001,46.742859,47.435001,4.785,43.150002,95.739998,30.218216,90.07,81.709999,NaN,73.730003,70.943993,NaN,28.690001,50.299999,194.800003,25.05287,76.769997,128.929993,28.25,14.063333,52.709999,99.93,112.849998,108.459999,43.549999,65.237503,46.189999,76.599998,52.400002,88.599998,90.720001,0.000248075
5,1/8/2015,27.9725,67.629997,45.68,89.879997,72.919998,54.240002,2.61,157.669998,99.919998,15.023,103.790001,91.580002,131.800003,17.290001,39.610001,1082.849976,353.420013,60.720001,151.369995,51.939999,88.709999,162.940002,69.279999,28.190001,80.769997,64.93,145.559998,58.59,27.51,97.970001,110.410004,65.284309,93.790001,NaN,84.809998,61.869999,26.069901,15.42,175.039993,138.460007,187.461533,102.300003,36.200001,25.065184,25.345501,190.270004,106.720001,95.908974,151.453156,36.689999,106.389999,60.389999,NaN,43.509998,128.380005,70.870003,195.130005,69.639999,85.529999,94.360001,37.59,74.75,46.327988,78.18,163.630005,50.720001,59.971375,37.490002,47.59,26.897499,47.779999,48.529999,4.965,43.41,97.480003,30.834915,91.099998,82.940002,NaN,74.510002,72.152298,NaN,29.440001,50.34,194.520004,25.302114,77.129997,130.270004,29.02,14.041333,53.57,104.699997,117.080002,110.410004,43.869999,66.112503,47.18,77.550003,53.560001,90.470001,92.230003,0.000248606
6,1/9/2015,28.002501,65.779999,45.200001,89.779999,71.839996,53.32,2.63,155.729996,99.410004,14.8465,104.900002,90.419998,131.539993,16.98,39.029999,1051.959961,349.230011,60.32,149.470001,50.779999,87.650002,161.979996,68.599998,28.145,79.370003,64.919998,143.320007,58.16,27.790001,97.919998,108.209999,64.844582,94.25,NaN,84.93,60.900002,26.027103,15.21,172.660004,138.970001,184.846161,102.209999,35.59,24.740576,25.035999,187.350006,104.889999,94.316849,152.112808,36.759998,104.940002,59.34,NaN,43.029999,126.650002,69.93,195.020004,68.330002,84.440002,93.209999,37.220001,74.400002,45.47237,77.739998,161.619995,50.599998,59.694656,36.880001,47.189999,26.66,47.041428,47.994999,4.985,43.389999,96.82,30.97723,90.25,82.720001,NaN,74.419998,71.755821,NaN,28.450001,49.700001,196.570007,25.226585,76.43,129.75,29.25,13.777333,53.599998,103.720001,114.980003,109.599998,42.959999,65.1325,46.759998,75.669998,52.68,89.349998,92.099998,0.000255297
7,1/12/2015,27.3125,65.760002,45.580002,89.510002,71.120003,52.360001,2.63,156.220001,98.980003,14.5705,103.160004,89.5,130.869995,16.68,38.470001,1039.97998,346.929993,62.18,148.279999,50.380001,86.889999,163.850006,68.260002,28.084999,79.059998,63.07,142.520004,57.73,28.049999,97.199997,105.879997,64.040939,94.459999,NaN,85.010002,60.169998,26.126961,15.22,172.570007,137.899994,184.461533,101.209999,35.84,24.56007,24.853001,185.070007,104.419998,93.85923,149.560226,36.599998,104.580002,58.830002,NaN,42.639999,126.370003,69.419998,194.470001,67.849998,83.360001,93.010002,36.869999,74.470001,44.946526,76.720001,160.740005,50.919998,59.446564,36.369999,46.599998,26.592501,45.547142,47.93,4.9225,43.27,96.419998,31.091082,89.919998,83.050003,NaN,73.57,72.026428,NaN,28.17,49.709999,196.759995,25.294561,76.629997,128.5,29.27,13.480667,53.119999,102.550003,113.970001,109.639999,42.560001,65.004997,47.080002,75.699997,52.049999,90.019997,90.330002,0.000243281
8,1/13/2015,27.555,63.389999,44.610001,89.830002,70.589996,51.869999,2.66,155.139999,97.879997,14.737,102.580002,89.230003,131.169998,16.450001,38.400002,1037.819946,347.980011,63.119999,148.630005,50.02,86.370003,164.399994,68.730003,28.42,78.389999,62.439999,141.089996,57.970001,28.1,97.239998,104.199997,63.949963,95.190002,NaN,85.470001,60.080002,26.041368,15.21,171.5,137.789993,183.538467,97.209999,35.25,24.741074,25.09,184.929993,103.730003,94.526588,149.913956,36.5,104.760002,58.84,NaN,42.630001,125.5,69.379997,194.350006,67.860001,83.550003,92.830002,36.630001,72.790001,44.39394,76.449997,160.619995,51.32,59.341602,36.029999,46.360001,26.6975,46.255714,47.505001,4.915,42.93,96.349998,30.777988,90.300003,83.099998,NaN,72.970001,71.957207,NaN,28.190001,49.68,196.889999,25.294561,75.949997,128.339996,29.469999,13.616667,52.790001,103.07,111.830002,110.110001,42.099998,65.195,47.18,75.260002,51.849998,89.309998,90,0.000227725
9,1/14/2015,27.450001,63.700001,44.279999,88.779999,69.989998,51.380001,2.63,155.160004,97.260002,14.6635,103.389999,87.07,130.380005,16.040001,37.43,1035.670044,345.75,62.950001,147.820007,49.049999,86.07,158.130005,68.449997,27.91,76.75,62.619999,139.309998,57.25,27.92,97.330002,103.900002,62.941624,94.230003,NaN,85.690002,59.619999,26.333809,15.11,172.75,137.350006,182.92308,99.260002,34.299999,24.974932,25.296499,180.229996,102.639999,94.088036,148.94838,36.349998,104,56.810001,NaN,42.560001,124.589996,69.760002,193.229996,67.389999,83.459999,91.540001,36.549999,71.769997,43.618538,76.279999,159.839996,51.73,59.770992,35.209999,45.959999,26.862499,46.32,46.855,4.935,43.060001,96.669998,30.815939,89.989998,83.419998,NaN,72.220001,71.441154,NaN,27.23,50.189999,198.630005,25.173716,74.330002,126.199997,29.57,12.846,52.709999,103.330002,111.360001,109.370003,41.34,63.889999,46.970001,74.989998,51.25,86.610001,89.739998,0.00021461
10,1/15/2015,26.705,62.889999,43.950001,88.169998,70.290001,50.400002,2.52,151.919998,96.279999,14.3475,101.32,85.879997,130.139999,15.2,37.25,998.25,342.450012,61.630001,147.580002,47.23,84.32,160.490005,68.32,28,76.949997,61.41,139.309998,55.110001,27.41,97.169998,102.669998,62.191055,94.349998,NaN,86.760002,59.380001,26.583452,14.86,173.850006,137.710007,181.384613,97.400002,33.43,25.020805,25.2005,178.490005,101.010002,92.581718,147.772461,36.189999,102.489998,54.990002,NaN,42.380001,124.470001,69.739998,192.369995,66.349998,82.25,91.379997,36.540001,71.900002,42.762924,74.050003,159.660004,52.470001,59.045803,34.580002,45.48,26.76,46.251431,46.404999,4.9,42.630001,96.669998,30.740038,89.860001,82.82,NaN,71.379997,71.441154,NaN,26.67,50.799999,200.070007,25.120846,75.669998,124.129997,29.18,12.791333,52.389999,104.459999,110.800003,109.290001,40.939999,63.282501,47.099998,74.779999,50.720001,87.379997,88.959999,0.000215694
11,1/16/2015,26.497499,64.540001,44.490002,88.889999,71.730003,51.110001,2.39,158.429993,97.419998,14.537,103.82,86.040001,130.779999,15.38,37.459999,1008.219971,348.070007,62.310001,149.210007,47.610001,83.860001,161.110001,69.169998,28.385,76.650002,63.080002,139.720001,56.639999,27.68,98.739998,105.120003,62.577709,95.18,NaN,87.349998,60.349998,26.661913,15.02,176.759995,139.070007,181.461533,100.709999,33.68,25.334444,25.523001,177.229996,104.120003,93.639954,150.229446,36.450001,104.040001,55.93,NaN,42.529999,123.529999,70.68,194.710007,67.989998,83.800003,91.489998,36.939999,72.760002,43.663101,75.18,162,53.049999,60.143131,34.889999,46.240002,27.055,48.191429,46.494999,4.99,43.509998,97.290001,31.119545,91.25,82.699997,NaN,71.290001,73.096291,NaN,26.9,51.349998,200.800003,25.528702,74.940002,125.290001,29.139999,12.871333,53.290001,105.769997,111.900002,110.300003,41.52,63.737499,47.990002,76.029999,51.639999,86.769997,91.120003,0.0002239
12,1/20/2015,27.18,63.450001,44.220001,88.620003,71.489998,50.650002,2.24,157.600006,97.129997,14.472,104.870003,87.260002,131.220001,15.26,37.240002,1024.949951,346.589996,62.450001,148.630005,47.259998,83.970001,156.130005,68.959999,27.905001,77.389999,63.189999,139.380005,57.290001,28.07,98.370003,106.470001,62.903713,94.739998,NaN,87.690002,60.48,26.569187,15.01,179.130005,138.089996,183.461533,103.779999,33.93,25.275606,25.497,175.630005,103.25,94.364517,150.047806,36.09,101.290001,55.709999,NaN,43.16,124.910004,72.029999,195.75,66.519997,84.260002,90.800003,37.02,72.199997,43.440285,76.239998,161.940002,53.830002,59.742367,34.75,46.389999,27.2325,49.828571,46.805,5.005,43.900002,97.510002,31.404175,91.190002,83.580002,NaN,72.480003,73.96476,NaN,26.75,51.66,199.630005,25.641994,73.669998,125.239998,29.540001,12.795333,53.810001,105.620003,113.949997,111.309998,41.209999,64.209999,48.18,76.050003,52,86.690002,91.089996,0.000226584
13,1/21/2015,27.387501,62.700001,44.060001,88.339996,71.540001,50.830002,2.45,157.380005,96.75,14.8625,105.379997,87.669998,132.410004,15.41,37.549999,1045.530029,349.5,61.950001,147.179993,47.740002,85.370003,155.75,68.349998,27.885,77.209999,64.540001,139.139999,57.709999,27.84,99.5,108.160004,63.123577,94.169998,NaN,88.68,60.98,27.097004,14.97,178.690002,138.889999,184.92308,103.580002,33.889999,25.831081,26.019501,177.149994,103.529999,94.621925,145.401535,36.48,101.900002,55.889999,NaN,43.360001,125.669998,72.239998,195.5,67.32,83.720001,90.339996,37.150002,73.059998,43.912655,76.739998,162.539993,54.27,59.312977,34.73,45.919998,27.4725,58.468571,46.755001,5.075,43.490002,97.400002,30.967743,90.730003,84.550003,NaN,71.589996,74.908745,NaN,26.700001,52.009998,200.220001,25.679758,73.949997,125.360001,30.08,13.104667,54.279999,109.32,114.400002,111.68,42.200001,64.32,48.25,75.589996,52.099998,86.639999,91.870003,0.000220217
14,1/22/2015,28.1,62.98,44.490002,89.5,73.480003,52.279999,2.47,159.570007,98.830002,15.516,105.199997,84.370003,135.639999,16.09,38.720001,1049.680054,360.790009,62.09,150.149994,49.57,86.82,158.990005,69.32,28.285,76.199997,65.300003,141.270004,58,28.5,100.279999,108.919998,64.063683,95.150002,NaN,88.629997,59.810001,26.569187,15.03,181.399994,141.210007,186.769226,105.139999,33.82,26.646341,26.865,182.039993,106.07,94.755394,148.556412,36.91,103.760002,57.59,NaN,43.779999,127.459999,72.459999,198.089996,69.550003,84.379997,90.889999,37.59,75.480003,44.750446,77.650002,165.889999,54.66,59.723282,35.529999,47.130001,27.387501,61.205715,47.924999,5.1625,44.049999,98.900002,31.129032,91.620003,85.160004,NaN,71.910004,75.802391,NaN,27.65,52.130001,204.029999,25.521149,75.769997,127,30.5,13.441333,54.970001,113.849998,119.830002,114.25,43.43,64.400002,47.799999,76.019997,53.77,88.300003,92.870003,0.00023897
15,1/23/2015,28.245001,62.43,43.860001,89.220001,74.059998,51.509998,2.45,159.809998,99.599998,15.6195,106.980003,84.129997,134.619995,15.73,36.900002,1037.98999,355.119995,62.07,149.119995,48.619999,85.610001,158.929993,67.139999,28.155001,77.599998,64.650002,142.050003,58.619999,28.209999,100.620003,106.849998,63.790752,94.720001,NaN,88.720001,58.119999,26.654779,14.91,176.009995,141.320007,188.307693,105.540001,33.75,26.92358,27.0975,180.490005,105.370003,97.720375,149.015289,36.450001,102.199997,56.68,NaN,43.310001,126.339996,72.129997,197.440002,69.709999,84.389999,89.559998,36.939999,76.949997,43.467022,77.830002,164.020004,54.189999,59.627865,35.150002,47.18,27.370001,62.494286,48.080002,5.1775,44.189999,98.529999,30.787476,90.080002,82.82,NaN,72.18,75.506607,NaN,27.190001,52.23,203.110001,25.203926,75.290001,124.870003,30.16,13.419333,55.060001,112,120.089996,102.93,43.32,64.572502,47.150002,75.589996,53.259998,88.510002,90.889999,0.000252794
