"","x"
"1",-2.11848211021851
"2",-2.11850127407714
"3",-2.06358453013365
"4",-2.11849967730297
"5",Inf
"6",-2.11849564818899
"7",-2.11849548329876
"8",-2.11850064034685
"9",-2.11849812291267
"10",Inf
"11",-2.11850016791067
"12",-2.08262302628143
"13",Inf
"14",-2.1185012537767
"15",Inf
"16",-2.07584510565548
"17",Inf
"18",-2.1184915522742
"19",Inf
"20",-2.11850160906713
"21",-2.11850194313469
"22",-2.11850005112485
"23",-2.05711829726884
"24",Inf
"25",-2.11849820108953
"26",-2.11850174583852
"27",-2.11850105012251
"28",-2.1184955546195
"29",-2.07920926968738
"30",-2.11849989985784
"31",-2.11849782269259
"32",-2.11849412680223
"33",-2.11849899758854
"34",Inf
"35",Inf
"36",-2.11850017853391
"37",-2.11849636473999
"38",-2.11849142408826
"39",Inf
"40",-2.1185017830148
"41",-2.11849743025447
"42",-2.11848092063136
"43",-2.11850035717699
"44",-2.11849210170266
"45",-2.11849805899869
"46",-2.11848578112115
"47",-2.11850261931591
"48",-2.11850254362947
"49",-2.11850095660028
"50",-2.11850043925111
"51",-2.11849825987312
"52",Inf
"53",Inf
"54",-2.11850001438618
"55",-2.11846572997532
"56",-2.11850052703178
"57",-2.07575864257776
"58",-2.11850024102717
"59",-2.05222965386599
"60",-2.11850272427166
"61",-2.11850036167004
"62",Inf
"63",Inf
"64",-2.11850066729625
"65",Inf
"66",-2.1184999657352
"67",Inf
"68",Inf
"69",-2.11849400190718
"70",-2.11850091484129
"71",Inf
"72",-2.11850077219676
"73",-2.08003258353282
"74",-2.08716893923996
"75",-2.11850000150111
"76",-2.11850157764746
"77",-2.11849095182899
"78",-2.09348386058425
"79",-2.11849954343552
"80",-2.11849844989989
"81",-2.09349507451661
"82",-2.08296582189336
"83",-2.11850266589342
"84",-2.11849832102916
"85",-2.11850016171553
"86",-2.11850115763549
"87",-2.11850141325216
"88",-2.11849678844559
"89",-2.11849458789446
"90",-2.11850113044008
"91",-2.11849195674479
"92",-2.1184951517724
"93",-2.11844882658893
"94",Inf
"95",-2.11850149932078
"96",-2.11848088743264
"97",-2.11845300971469
"98",Inf
"99",-2.11849410686004
"100",Inf
"101",-2.11847878047855
"102",-2.11849672705559
"103",-2.11849576253576
"104",-2.11850246607067
"105",-2.11838081423245
"106",-2.11835564117954
"107",-2.11850297890118
"108",Inf
"109",Inf
"110",-2.11850190078829
"111",Inf
"112",Inf
"113",-2.11850165970976
"114",-2.08309938765767
"115",-2.11849789590998
"116",-2.11850033511086
"117",Inf
"118",-1.94859954805125
"119",-2.11850236179948
"120",Inf
"121",-2.11850123428834
"122",Inf
"123",-2.11850093476187
"124",Inf
"125",-2.11850161139786
"126",-2.11846914374938
"127",-2.11850202118836
"128",Inf
"129",Inf
"130",-2.1184672804596
"131",-2.11849176274004
"132",-2.11848107288738
"133",-2.10201296546196
"134",-2.11849680674247
"135",-2.11850201672639
"136",Inf
"137",-2.11850211964195
"138",-2.11850029855856
"139",-2.11850010561831
"140",-2.06220552506386
"141",-2.11849523570534
"142",-2.11850026627748
"143",Inf
"144",Inf
"145",Inf
"146",-2.08151399282909
"147",-2.11850007407143
"148",-2.11850239468221
"149",-2.06825302788972
"150",Inf
