"","x"
"1",-2.13231101223795
"2",Inf
"3",Inf
"4",-2.13230586630366
"5",-2.1314679980081
"6",-2.13231493162053
"7",-2.1323034384893
"8",-2.13231425332342
"9",-2.13224483343228
"10",Inf
"11",-2.13218121845285
"12",-2.13220373577811
"13",-2.13183159858143
"14",-2.13225973049758
"15",-2.13218220781184
"16",-2.13226463541172
"17",-2.1322771191142
"18",Inf
"19",-2.1322573874027
"20",-2.13225936770919
"21",Inf
"22",-2.1323014278897
"23",Inf
"24",-2.1323029184444
"25",-2.13225908253514
"26",Inf
"27",-2.13225955352999
"28",Inf
"29",Inf
"30",-2.13231302772154
"31",-2.1323155991444
"32",-2.13229503527323
"33",-2.13229396947616
"34",-2.13230875100097
"35",-2.13230315317507
"36",Inf
"37",-2.13231049363883
"38",-2.13226957989758
"39",-2.13229760777193
"40",-2.13229598963726
"41",-2.13153599035965
"42",Inf
"43",-2.13225184733605
"44",-2.1322566294336
"45",-2.1322020344027
"46",-2.13231563466595
"47",Inf
"48",-2.1322410195941
"49",Inf
"50",-2.13230199777135
"51",-2.13230947229857
"52",-2.13227218164241
"53",-2.1323093624742
"54",Inf
"55",Inf
"56",-2.13230295795788
"57",-2.13230063725468
"58",-2.13228503477127
"59",-2.13221795933662
"60",Inf
"61",Inf
"62",Inf
"63",-2.13205067821101
"64",Inf
"65",Inf
"66",Inf
"67",Inf
"68",Inf
"69",Inf
"70",Inf
"71",-2.13231582185311
"72",-2.13229825127112
"73",-2.13229287122801
"74",Inf
"75",Inf
"76",Inf
"77",-2.13225685767078
"78",-2.13228326217361
"79",Inf
"80",Inf
"81",-2.13230005318821
"82",Inf
"83",Inf
"84",Inf
"85",-2.13230300241649
"86",-2.13230018792605
"87",-2.13230570047802
"88",-2.1323111039907
"89",Inf
"90",-2.13226679963413
"91",-2.13229135263905
"92",-2.1322333336574
"93",-2.13229607461352
"94",-2.13229679441362
"95",-2.13228723126252
"96",-2.13224006488749
"97",Inf
"98",Inf
"99",-2.13220077241679
"100",-2.1323020809258
"101",-2.132280858099
"102",Inf
"103",-2.1321833599599
"104",-2.13224980074517
"105",Inf
"106",-2.13231566829591
"107",-2.13226323828123
"108",Inf
"109",-2.13231103942996
"110",-2.13224997766728
"111",Inf
"112",Inf
"113",Inf
"114",Inf
"115",Inf
"116",-2.13228000091595
"117",-2.13229485767092
"118",-2.1322309206302
"119",-2.13229733078306
"120",Inf
"121",Inf
"122",Inf
"123",Inf
"124",Inf
"125",Inf
"126",-2.1322955140433
"127",Inf
"128",-2.13229069714351
"129",-2.13204491939528
"130",Inf
"131",-2.13230723122726
"132",-2.13230253737887
"133",-2.13218417656058
"134",Inf
"135",-2.13225469388572
"136",-2.13230045519697
"137",Inf
"138",Inf
"139",Inf
"140",-2.13207110890532
"141",-2.13170907581212
"142",-2.13227904406127
"143",Inf
"144",Inf
"145",-2.13229797444918
